stim,id,age,AUC_sal,AUC_dist,age_group,precision,watched
Feist,50,240,0.60309,0.64959,.5-1 y,1.616666667,2
Pentatonix,50,240,0.57844,0.58591,.5-1 y,1.616666667,2
Science,50,240,0.65497,0.71104,.5-1 y,1.616666667,2
Plane,50,240,0.6099,0.69281,.5-1 y,1.616666667,2
Dogs,50,240,0.5405,0.40872000000000003,.5-1 y,1.616666667,2
Feist,51,991,0.594,0.5488,2-4 y,1.428571429,2
Pentatonix,51,991,0.58469,0.67261,2-4 y,1.428571429,2
Science,51,991,0.71441,0.64379,2-4 y,1.428571429,2
Plane,51,991,0.54714,0.5318,2-4 y,1.428571429,2
Dogs,51,991,0.59732,0.6246,2-4 y,1.428571429,2
Feist,52,539,0.54673,0.50661,1-1.5 y,3.025,2
Science,52,539,0.44698,0.35551,1-1.5 y,3.025,2
Plane,52,539,0.4977,0.48446,1-1.5 y,3.025,2
Dogs,52,539,0.66759,0.47044,1-1.5 y,3.025,2
Feist,53,489,0.61766,0.65055,1-1.5 y,1.292857143,2
Pentatonix,53,489,0.59872,0.7333,1-1.5 y,1.292857143,2
Science,53,489,0.73144,0.73621,1-1.5 y,1.292857143,2
Plane,53,489,0.52697,0.55008,1-1.5 y,1.292857143,2
Dogs,53,489,0.61844,0.51156,1-1.5 y,1.292857143,2
Feist,55,1108,0.60644,0.75514,2-4 y,1.766666667,2
Science,55,1108,0.69094,0.64166,2-4 y,1.766666667,2
Plane,55,1108,0.58676,0.49911,2-4 y,1.766666667,2
Dogs,55,1108,0.6092,0.57693,2-4 y,1.766666667,2
Feist,56,379,0.62445,0.78451,1-1.5 y,1.728571429,2
Pentatonix,56,379,0.57881,0.70672,1-1.5 y,1.728571429,2
Science,56,379,0.69917,0.74313,1-1.5 y,1.728571429,2
Plane,56,379,0.56518,0.52355,1-1.5 y,1.728571429,2
Dogs,56,379,0.60473,0.63318,1-1.5 y,1.728571429,2
Feist,58,1278,0.58364,0.71896,2-4 y,1.535714286,3
Pentatonix,58,1278,0.60012,0.62986,2-4 y,1.535714286,2
Science,58,1278,0.63762,0.62675,2-4 y,1.535714286,2
Plane,58,1278,0.5483,0.54841,2-4 y,1.535714286,2
Dogs,58,1278,0.57166,0.58635,2-4 y,1.535714286,2
Feist,59,492,0.58887,0.59083,1-1.5 y,1.62,2
Pentatonix,59,492,0.57607,0.69054,1-1.5 y,1.62,2
Plane,59,492,0.55159,0.49687,1-1.5 y,1.62,2
Dogs,59,492,0.52842,0.46948,1-1.5 y,1.62,2
Feist,60,1227,0.60354,0.62985,2-4 y,1.778571429,2
Pentatonix,60,1227,0.49193,0.56839,2-4 y,1.778571429,2
Science,60,1227,0.66497,0.83951,2-4 y,1.778571429,2
Plane,60,1227,0.54009,0.5828,2-4 y,1.778571429,2
Dogs,60,1227,0.50728,0.54675,2-4 y,1.778571429,2
Feist,61,508,0.60092,0.72765,1-1.5 y,1.378571429,2
Pentatonix,61,508,0.55429,0.56964,1-1.5 y,1.378571429,2
Science,61,508,0.7341,0.71095,1-1.5 y,1.378571429,2
Plane,61,508,0.54118,0.5233,1-1.5 y,1.378571429,2
Dogs,61,508,0.59894,0.605,1-1.5 y,1.378571429,2
Feist,62,2002,0.60356,0.65009,4-6 y,1.442857143,2
Pentatonix,62,2002,0.62849,0.58138,4-6 y,1.442857143,2
Science,62,2002,0.54802,0.50298,4-6 y,1.442857143,2
Plane,62,2002,0.52711,0.56256,4-6 y,1.442857143,2
Dogs,62,2002,0.67388,0.5063,4-6 y,1.442857143,2
Feist,63,2997,0.55955,0.56112,8-10 y,1.5,2
Pentatonix,63,2997,0.61586,0.6518,8-10 y,1.5,2
Science,63,2997,0.62696,0.57255,8-10 y,1.5,2
Plane,63,2997,0.60207,0.56338,8-10 y,1.5,2
Dogs,63,2997,0.63047,0.58405,8-10 y,1.5,2
Feist,64,1845,0.61521,0.64655,4-6 y,1.607142857,1
Pentatonix,64,1845,0.58243,0.63939,4-6 y,1.607142857,2
Science,64,1845,0.58329,0.57194,4-6 y,1.607142857,2
Plane,64,1845,0.49371,0.55376,4-6 y,1.607142857,2
Dogs,64,1845,0.58587,0.53972,4-6 y,1.607142857,1
Feist,65,3705,0.60414,0.76225,8-10 y,1.4,2
Pentatonix,65,3705,0.63109,0.62278,8-10 y,1.4,2
Science,65,3705,0.58259,0.50989,8-10 y,1.4,2
Plane,65,3705,0.57006,0.59173,8-10 y,1.4,2
Dogs,65,3705,0.58229,0.53858,8-10 y,1.4,2
Feist,66,551,0.58239,0.61637,1.5-2 y,1.564285714,1
Pentatonix,66,551,0.57463,0.58356,1.5-2 y,1.564285714,2
Science,66,551,0.6004,0.51199,1.5-2 y,1.564285714,2
Plane,66,551,0.54094,0.58394,1.5-2 y,1.564285714,2
Dogs,66,551,0.59886,0.68623,1.5-2 y,1.564285714,2
Feist,67,3038,0.5859,0.66814,8-10 y,1.442857143,2
Pentatonix,67,3038,0.54914,0.71411,8-10 y,1.442857143,2
Science,67,3038,0.62679,0.59941,8-10 y,1.442857143,3
Plane,67,3038,0.54145,0.56508,8-10 y,1.442857143,2
Dogs,67,3038,0.55948,0.55398,8-10 y,1.442857143,2
Feist,68,978,0.59559,0.64626,2-4 y,1.957142857,2
Pentatonix,68,978,0.57079,0.6598,2-4 y,1.957142857,2
Science,68,978,0.61993,0.57341,2-4 y,1.957142857,2
Plane,68,978,0.52336,0.58359,2-4 y,1.957142857,2
Dogs,68,978,0.60978,0.62081,2-4 y,1.957142857,2
Feist,69,551,0.56438,0.55243,1.5-2 y,1.535714286,2
Pentatonix,69,551,0.54503,0.59841,1.5-2 y,1.535714286,2
